Timestamp, PID, Name, CPU (%), RAM (MB), RAM (%), Running time 
2025-11-22T19:05:51+07:00,17972,msedge.exe,25.34,1785.88,5.52,1h42m38.8624392s
2025-11-22T19:05:51+07:00,26996,Code.exe,8.08,329.61,1.02,5m50.8639469s
2025-11-22T19:05:51+07:00,25068,Code.exe,6.78,759.55,2.35,1m27.8639469s
2025-11-22T19:05:51+07:00,20496,msedge.exe,5.28,469.32,1.45,9m27.86445s
2025-11-22T19:05:51+07:00,25996,Code.exe,4.63,677.03,2.09,2m45.8639469s
2025-11-22T19:05:51+07:00,17972,msedge.exe,25.34,1785.88,5.52,1h42m38.8624392s
2025-11-22T19:05:51+07:00,25068,Code.exe,6.78,759.55,2.35,1m27.8639469s
2025-11-22T19:05:51+07:00,25996,Code.exe,4.63,677.03,2.09,2m45.8639469s
2025-11-22T19:05:51+07:00,20496,msedge.exe,5.28,469.32,1.45,9m27.86445s
2025-11-22T19:05:51+07:00,26996,Code.exe,8.08,329.61,1.02,5m50.8639469s
2025-11-22T19:05:55+07:00,17972,msedge.exe,25.32,1785.88,5.52,1h42m42.8624295s
2025-11-22T19:05:55+07:00,26996,Code.exe,8.11,329.34,1.02,5m54.8609217s
2025-11-22T19:05:55+07:00,25068,Code.exe,6.48,759.55,2.35,1m31.8634428s
2025-11-22T19:05:55+07:00,20496,msedge.exe,5.24,458.62,1.42,9m31.86294s
2025-11-22T19:05:55+07:00,25996,Code.exe,4.52,676.64,2.09,2m49.8609217s
2025-11-22T19:05:55+07:00,17972,msedge.exe,25.32,1785.88,5.52,1h42m42.8624295s
2025-11-22T19:05:55+07:00,25068,Code.exe,6.48,759.55,2.35,1m31.8634428s
2025-11-22T19:05:55+07:00,25996,Code.exe,4.52,676.64,2.09,2m49.8609217s
2025-11-22T19:05:55+07:00,20496,msedge.exe,5.24,458.62,1.42,9m31.86294s
2025-11-22T19:05:55+07:00,26996,Code.exe,8.11,329.34,1.02,5m54.8609217s
2025-11-22T19:05:59+07:00,17972,msedge.exe,25.31,1785.88,5.52,1h42m46.8624601s
2025-11-22T19:05:59+07:00,26996,Code.exe,8.21,336.63,1.04,5m58.8624601s
2025-11-22T19:05:59+07:00,25068,Code.exe,6.21,759.57,2.35,1m35.8624601s
2025-11-22T19:05:59+07:00,20496,msedge.exe,5.21,458.81,1.42,9m35.8609516s
2025-11-22T19:05:59+07:00,25996,Code.exe,4.42,676.93,2.09,2m53.8624601s
2025-11-22T19:05:59+07:00,17972,msedge.exe,25.31,1785.88,5.52,1h42m46.8624601s
2025-11-22T19:05:59+07:00,25068,Code.exe,6.21,759.57,2.35,1m35.8624601s
2025-11-22T19:05:59+07:00,25996,Code.exe,4.42,676.93,2.09,2m53.8624601s
2025-11-22T19:05:59+07:00,20496,msedge.exe,5.21,458.81,1.42,9m35.8609516s
2025-11-22T19:05:59+07:00,26996,Code.exe,8.21,336.63,1.04,5m58.8624601s
2025-11-22T19:06:03+07:00,17972,msedge.exe,25.29,1785.94,5.52,1h42m50.8638729s
2025-11-22T19:06:03+07:00,26996,Code.exe,8.27,331.03,1.02,6m2.8628674s
2025-11-22T19:06:03+07:00,25068,Code.exe,5.96,759.55,2.35,1m39.8638729s
2025-11-22T19:06:03+07:00,20496,msedge.exe,5.18,458.81,1.42,9m39.8628674s
2025-11-22T19:06:03+07:00,25996,Code.exe,4.32,676.79,2.09,2m57.8618618s
2025-11-22T19:06:03+07:00,17972,msedge.exe,25.29,1785.94,5.52,1h42m50.8638729s
2025-11-22T19:06:03+07:00,25068,Code.exe,5.96,759.55,2.35,1m39.8638729s
2025-11-22T19:06:03+07:00,25996,Code.exe,4.32,676.79,2.09,2m57.8618618s
2025-11-22T19:06:03+07:00,20496,msedge.exe,5.18,458.81,1.42,9m39.8628674s
2025-11-22T19:06:03+07:00,26996,Code.exe,8.27,331.03,1.02,6m2.8628674s
2025-11-22T19:06:07+07:00,17972,msedge.exe,25.28,1785.94,5.52,1h42m54.8635404s
2025-11-22T19:06:07+07:00,26996,Code.exe,8.28,332.05,1.03,6m6.8635404s
2025-11-22T19:06:07+07:00,25068,Code.exe,5.73,759.57,2.35,1m43.8625357s
2025-11-22T19:06:07+07:00,20496,msedge.exe,5.14,458.87,1.42,9m43.8620332s
2025-11-22T19:06:07+07:00,25996,Code.exe,4.23,676.86,2.09,3m1.8640439s
2025-11-22T19:06:07+07:00,17972,msedge.exe,25.28,1785.94,5.52,1h42m54.8635404s
2025-11-22T19:06:07+07:00,25068,Code.exe,5.73,759.57,2.35,1m43.8625357s
2025-11-22T19:06:07+07:00,25996,Code.exe,4.23,676.86,2.09,3m1.8640439s
2025-11-22T19:06:07+07:00,20496,msedge.exe,5.14,458.87,1.42,9m43.8620332s
2025-11-22T19:06:07+07:00,26996,Code.exe,8.28,332.05,1.03,6m6.8635404s
